Date,CPI_Index_KOR_BOK,Policy_Rate_BOK
1960-01-01,,
1960-02-01,,
1960-03-01,,
1960-04-01,,
1960-05-01,,
1960-06-01,,
1960-07-01,,
1960-08-01,,
1960-09-01,,
1960-10-01,,
1960-11-01,,
1960-12-01,,
1961-01-01,,
1961-02-01,,
1961-03-01,,
1961-04-01,,
1961-05-01,,
1961-06-01,,
1961-07-01,,
1961-08-01,,
1961-09-01,,
1961-10-01,,
1961-11-01,,
1961-12-01,,
1962-01-01,,
1962-02-01,,
1962-03-01,,
1962-04-01,,
1962-05-01,,
1962-06-01,,
1962-07-01,,
1962-08-01,,
1962-09-01,,
1962-10-01,,
1962-11-01,,
1962-12-01,,
1963-01-01,,
1963-02-01,,
1963-03-01,,
1963-04-01,,
1963-05-01,,
1963-06-01,,
1963-07-01,,
1963-08-01,,
1963-09-01,,
1963-10-01,,
1963-11-01,,
1963-12-01,,
1964-01-01,,
1964-02-01,,
1964-03-01,,
1964-04-01,,
1964-05-01,,
1964-06-01,,
1964-07-01,,
1964-08-01,,
1964-09-01,,
1964-10-01,,
1964-11-01,,
1964-12-01,,
1965-01-01,,
1965-02-01,,
1965-03-01,,
1965-04-01,,
1965-05-01,,
1965-06-01,,
1965-07-01,,
1965-08-01,,
1965-09-01,,
1965-10-01,,
1965-11-01,,
1965-12-01,,
1966-01-01,,
1966-02-01,,
1966-03-01,,
1966-04-01,,
1966-05-01,,
1966-06-01,,
1966-07-01,,
1966-08-01,,
1966-09-01,,
1966-10-01,,
1966-11-01,,
1966-12-01,,
1967-01-01,,
1967-02-01,,
1967-03-01,,
1967-04-01,,
1967-05-01,,
1967-06-01,,
1967-07-01,,
1967-08-01,,
1967-09-01,,
1967-10-01,,
1967-11-01,,
1967-12-01,,
1968-01-01,,
1968-02-01,,
1968-03-01,,
1968-04-01,,
1968-05-01,,
1968-06-01,,
1968-07-01,,
1968-08-01,,
1968-09-01,,
1968-10-01,,
1968-11-01,,
1968-12-01,,
1969-01-01,,
1969-02-01,,
1969-03-01,,
1969-04-01,,
1969-05-01,,
1969-06-01,,
1969-07-01,,
1969-08-01,,
1969-09-01,,
1969-10-01,,
1969-11-01,,
1969-12-01,,
1970-01-01,4.4,
1970-02-01,4.488,
1970-03-01,4.586,
1970-04-01,4.684,
1970-05-01,4.637,
1970-06-01,4.539,
1970-07-01,4.571,
1970-08-01,4.604,
1970-09-01,4.716,
1970-10-01,4.809,
1970-11-01,4.8,
1970-12-01,4.967,
1971-01-01,5.098,
1971-02-01,5.199,
1971-03-01,5.297,
1971-04-01,5.274,
1971-05-01,5.18,
1971-06-01,5.172,
1971-07-01,5.264,
1971-08-01,5.311,
1971-09-01,5.4,
1971-10-01,5.357,
1971-11-01,5.366,
1971-12-01,5.418,
1972-01-01,5.501,
1972-02-01,5.677,
1972-03-01,5.836,
1972-04-01,5.874,
1972-05-01,5.898,
1972-06-01,5.93,
1972-07-01,5.993,
1972-08-01,6.087,
1972-09-01,6.092,
1972-10-01,6.022,
1972-11-01,5.911,
1972-12-01,5.915,
1973-01-01,5.934,
1973-02-01,5.952,
1973-03-01,5.961,
1973-04-01,5.993,
1973-05-01,6.028,
1973-06-01,6.013,
1973-07-01,6.046,
1973-08-01,6.106,
1973-09-01,6.157,
1973-10-01,6.166,
1973-11-01,6.241,
1973-12-01,6.417,
1974-01-01,6.692,
1974-02-01,7.045,
1974-03-01,7.31,
1974-04-01,7.446,
1974-05-01,7.483,
1974-06-01,7.427,
1974-07-01,7.589,
1974-08-01,7.827,
1974-09-01,7.957,
1974-10-01,7.883,
1974-11-01,7.989,
1974-12-01,8.114,
1975-01-01,8.394,
1975-02-01,8.546,
1975-03-01,8.707,
1975-04-01,8.982,
1975-05-01,9.304,
1975-06-01,9.427,
1975-07-01,9.598,
1975-08-01,9.807,
1975-09-01,10.148,
1975-10-01,10.29,
1975-11-01,10.214,
1975-12-01,10.262,
1976-01-01,10.328,
1976-02-01,10.441,
1976-03-01,10.622,
1976-04-01,10.735,
1976-05-01,10.801,
1976-06-01,10.905,
1976-07-01,11.115,
1976-08-01,11.228,
1976-09-01,11.313,
1976-10-01,11.19,
1976-11-01,11.18,
1976-12-01,11.247,
1977-01-01,11.331,
1977-02-01,11.598,
1977-03-01,11.758,
1977-04-01,11.768,
1977-05-01,11.89,
1977-06-01,12.005,
1977-07-01,12.157,
1977-08-01,12.318,
1977-09-01,12.355,
1977-10-01,12.318,
1977-11-01,12.365,
1977-12-01,12.479,
1978-01-01,12.839,
1978-02-01,13.104,
1978-03-01,13.274,
1978-04-01,13.255,
1978-05-01,13.388,
1978-06-01,13.757,
1978-07-01,13.956,
1978-08-01,13.985,
1978-09-01,14.268,
1978-10-01,14.392,
1978-11-01,14.468,
1978-12-01,14.524,
1979-01-01,14.648,
1979-02-01,15.16,
1979-03-01,15.435,
1979-04-01,15.813,
1979-05-01,16.307,
1979-06-01,16.458,
1979-07-01,16.533,
1979-08-01,16.59,
1979-09-01,16.818,
1979-10-01,16.931,
1979-11-01,17.187,
1979-12-01,17.604,
1980-01-01,18.368,
1980-02-01,19.163,
1980-03-01,19.876,
